,Возраст (лет),мужчины,женщины,region
0,0,2859.0,2639.0,Республика Карелия
1,1,3137.0,2913.0,Республика Карелия
2,2,3320.0,3139.0,Республика Карелия
3,0-2,9316.0,8691.0,Республика Карелия
4,3,3822.0,3719.0,Республика Карелия
5,4,4029.0,3726.0,Республика Карелия
6,0-4,17167.0,16136.0,Республика Карелия
7,5,3974.0,3864.0,Республика Карелия
8,3-5,11825.0,11309.0,Республика Карелия
9,6,3953.0,3672.0,Республика Карелия
10,1-6,22235.0,21033.0,Республика Карелия
11,7,4145.0,3875.0,Республика Карелия
12,8,3882.0,3764.0,Республика Карелия
13,9,3827.0,3490.0,Республика Карелия
14,5-9,19781.0,18665.0,Республика Карелия
15,10,3786.0,3579.0,Республика Карелия
16,11,3623.0,3547.0,Республика Карелия
17,12,3510.0,3403.0,Республика Карелия
18,13,3314.0,3135.0,Республика Карелия
19,8-13,21942.0,20918.0,Республика Карелия
20,0-13,51181.0,48465.0,Республика Карелия
21,14,3297.0,3139.0,Республика Карелия
22,10-14,17530.0,16803.0,Республика Карелия
23,0-14,54478.0,51604.0,Республика Карелия
24,15,3504.0,3214.0,Республика Карелия
25,14-15,6801.0,6353.0,Республика Карелия
26,16,3479.0,3130.0,Республика Карелия
27,17,3350.0,3221.0,Республика Карелия
28,16-17,6829.0,6351.0,Республика Карелия
29,0-17,64811.0,61169.0,Республика Карелия
30,18,2888.0,2946.0,Республика Карелия
31,19,2760.0,2827.0,Республика Карелия
32,15-19,15981.0,15338.0,Республика Карелия
33,20,2391.0,2600.0,Республика Карелия
34,21,2682.0,2652.0,Республика Карелия
35,22,2604.0,2632.0,Республика Карелия
36,23,2746.0,2806.0,Республика Карелия
37,24,2919.0,2857.0,Республика Карелия
38,20-24,13342.0,13547.0,Республика Карелия
39,25,3128.0,2867.0,Республика Карелия
40,26,3043.0,2822.0,Республика Карелия
41,27,3264.0,2942.0,Республика Карелия
42,28,3454.0,3246.0,Республика Карелия
43,29,3962.0,3902.0,Республика Карелия
44,25-29,16851.0,15779.0,Республика Карелия
45,20-29,30193.0,29326.0,Республика Карелия
46,16-29,42670.0,41450.0,Республика Карелия
47,30,4393.0,4260.0,Республика Карелия
48,31,4905.0,4546.0,Республика Карелия
49,32,5340.0,4870.0,Республика Карелия
50,33,5214.0,4856.0,Республика Карелия
51,34,4824.0,4661.0,Республика Карелия
52,30-34,24676.0,23193.0,Республика Карелия
53,15-34,70850.0,67857.0,Республика Карелия
54,35,4985.0,4753.0,Республика Карелия
55,36,5134.0,4900.0,Республика Карелия
56,37,5022.0,4907.0,Республика Карелия
57,38,4659.0,4643.0,Республика Карелия
58,39,4606.0,4746.0,Республика Карелия
59,35-39,24406.0,23949.0,Республика Карелия
60,20-39,79275.0,76468.0,Республика Карелия
61,40,4638.0,4540.0,Республика Карелия
62,41,4609.0,4789.0,Республика Карелия
63,42,4602.0,4664.0,Республика Карелия
64,43,4631.0,4813.0,Республика Карелия
65,44,4500.0,4800.0,Республика Карелия
66,40-44,22980.0,23606.0,Республика Карелия
67,45,4587.0,4768.0,Республика Карелия
68,46,4232.0,4494.0,Республика Карелия
69,47,4125.0,4489.0,Республика Карелия
70,48,3985.0,4539.0,Республика Карелия
71,49,3928.0,4305.0,Республика Карелия
72,45-49,20857.0,22595.0,Республика Карелия
73,15-49,139093.0,138007.0,Республика Карелия
74,50,3503.0,3981.0,Республика Карелия
75,51,3403.0,3979.0,Республика Карелия
76,52,3429.0,3973.0,Республика Карелия
77,53,3503.0,4352.0,Республика Карелия
78,54,3480.0,4361.0,Республика Карелия
79,50-54,17318.0,20646.0,Республика Карелия
80,55,3758.0,4548.0,Республика Карелия
81,56,3970.0,4775.0,Республика Карелия
82,57,3867.0,4961.0,Республика Карелия
83,58,4307.0,5484.0,Республика Карелия
84,59,4217.0,5847.0,Республика Карелия
85,55-59,20119.0,25615.0,Республика Карелия
86,60,3919.0,5718.0,Республика Карелия
87,61,3946.0,5681.0,Республика Карелия
88,62,3694.0,5393.0,Республика Карелия
89,63,3456.0,5334.0,Республика Карелия
90,64,3555.0,5484.0,Республика Карелия
91,60-64,18570.0,27610.0,Республика Карелия
92,65,3331.0,5729.0,Республика Карелия
93,66,2911.0,5188.0,Республика Карелия
94,67,2811.0,4997.0,Республика Карелия
95,68,2702.0,4786.0,Республика Карелия
96,69,2431.0,4729.0,Республика Карелия
97,65-69,14186.0,25429.0,Республика Карелия
98,70,2520.0,4877.0,Республика Карелия
99,71,1774.0,3719.0,Республика Карелия
100,72,1727.0,3531.0,Республика Карелия
101,73,1380.0,2954.0,Республика Карелия
102,74,812.0,1765.0,Республика Карелия
103,70-74,8213.0,16846.0,Республика Карелия
104,75,603.0,1374.0,Республика Карелия
105,76,433.0,990.0,Республика Карелия
106,77,527.0,1553.0,Республика Карелия
107,78,937.0,2757.0,Республика Карелия
108,79,783.0,2400.0,Республика Карелия
109,75-79,3283.0,9074.0,Республика Карелия
110,80 и старше,4843.0,19130.0,Республика Карелия
111,85 и старше,1564.0,7412.0,Республика Карелия
112,,,,Республика Карелия
113,Итого,280103.0,333961.0,Республика Карелия
114,,,,Республика Карелия
115,моложе трудоспособного,57982.0,54818.0,Республика Карелия
116,трудоспособного,176945.0,159987.0,Республика Карелия
